City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,kamennogorsk,60.9545,29.1339,39.72,91,98,2.8,RU,1699468624
312,saskatoon,52.1168,-106.6345,35.58,69,20,25.32,CA,1699468522
313,yanchep,-31.55,115.6833,66.33,83,89,9.82,AU,1699468624
314,inhambane,-23.865,35.3833,73.38,83,20,9.22,MZ,1699468624
315,port douglas,-16.4833,145.4667,74.66,84,68,8.52,AU,1699468625
316,santa marta,11.2408,-74.199,93.25,74,20,4.61,CO,1699468625
317,laguna,38.421,-121.4238,66.29,49,0,10.36,US,1699468625
318,flin flon,54.7682,-101.865,30.04,93,100,4.61,CA,1699468625
319,tiaret,35.371,1.317,49.44,25,0,3.44,DZ,1699468626
320,port augusta,-32.5,137.7667,64.53,57,75,9.82,AU,1699468626
321,rojhan,28.6868,69.9534,77.67,35,3,2.98,PK,1699468626
322,al qusayr,34.5091,36.5798,65.64,65,0,1.45,SY,1699468627
323,tangalle,6.024,80.7911,75.36,89,93,3.89,LK,1699468627
324,kalibo (poblacion),11.7061,122.3644,79.18,90,100,7.81,PH,1699468627
325,tirunelveli,8.7333,77.7,79.05,83,100,3.58,IN,1699468628
326,saudarkrokur,65.7461,-19.6394,32.14,83,13,5.77,IS,1699468628
327,chui,-33.6971,-53.4616,68.29,66,70,10.51,UY,1699468628
328,lompoc,34.6391,-120.4579,74.52,48,0,12.66,US,1699468588
329,san luis,-33.295,-66.3356,81.93,14,0,11.14,AR,1699468629
330,walvis bay,-22.9575,14.5053,63.55,72,3,6.91,NA,1699468629
331,atar,20.5169,-13.0499,82.45,18,0,11.5,MR,1699468629
332,sferracavallo,42.726,12.0956,55.44,81,1,2.19,IT,1699468630
333,kidal,18.4411,1.4078,86.2,10,0,8.32,ML,1699468630
334,torghay,49.6339,63.4981,44.65,75,100,4.32,KZ,1699468630
335,raja,8.4596,25.678,78.91,66,11,3.67,SS,1699468630
336,kinablangan,7.6947,126.5503,78.48,86,98,3.36,PH,1699468632
337,moundou,8.5667,16.0833,82.58,51,96,3.53,TD,1699468632
338,awjilah,29.1081,21.2869,74.43,37,0,7.65,LY,1699468632
339,tejen,37.3834,60.5054,56.1,41,1,5.97,TM,1699468633
340,san jose del guaviare,2.5729,-72.6459,89.11,59,97,1.03,CO,1699468633
341,an nimas,19.1455,42.1201,59.49,50,55,7.94,SA,1699468633
342,kurumkan,54.3,110.3,17.13,82,97,4.0,RU,1699468634
343,kivioli,59.3531,26.9711,40.66,91,82,3.02,EE,1699468634
344,machico,32.7,-16.7667,68.63,75,40,6.91,PT,1699468634
345,cartaxo,39.1602,-8.7874,61.77,99,100,1.01,PT,1699468346
